HomeCondition,BuildMaterialQual,YrRD,Remd,TLA,YrBlt,GarCap,Bedrm,TotBaseArea,BasetMinFinArea,BaseFinArea,FirePlaces,Fixtures,PoolArea,TotAcres,SaleDate,Price
4,3,1974,0,1918,1974,2,4,1272,0,800,0,12,512,0.84,2022.28,425000
4,3,2001,0,1730,2001,2,3,1695,0,1000,1,12,512,0.19,2019.98,290909.0909
4,3,1999,0,1318,1999,2,3,1277,0,1100,1,11,512,0.26,2017.15,176923.0769
4,3,1977,0,1365,1977,4,3,675,0,650,1,11,512,1.31,2016.68,350000
4,3,2004,5,2353,1969,2,3,1675,0,1100,1,12,512,1.34,2017.28,489285.7143
4,3,1976,0,1196,1976,2,3,616,0,500,1,10,512,0.21,2016.99,203500
4,3,1974,0,1608,1974,2,3,756,0,650,1,12,512,0.27,2022.52,319900
5,3,1975,0,2187,1975,2,3,651,0,500,3,14,512,0.23,2021.01,302000
5,3,1975,0,2187,1975,2,3,651,0,500,3,14,512,0.23,2019.32,270000
3,3,1975,0,1166,1975,2,3,1148,0,850,1,10,512,0.21,2021.59,240000
4,3,1981,0,1585,1981,2,2,768,0,650,1,12,512,0.34,2019.84,275000
5,3,2018,5,1734,2002,3,3,1710,0,1350,0,14,512,0.4,2020.69,370000
4,3,2018,0,1832,2018,4,3,1832,0,1400,1,14,512,0.27,2022.64,650000
4,3,2017,0,1593,2017,6,2,1593,0,1500,1,12,512,0.2,2018.76,324950
4,3,1977,0,1911,1977,2,3,737,0,550,1,12,512,0.14,2018.40,204166.6667
4,3,1977,0,1911,1977,2,3,737,0,550,1,12,512,0.14,2021.45,262500
5,3,2017,5,2082,1971,2,3,720,150,500,1,10,512,0.27,2021.11,301000
4,3,1974,0,1196,1974,2,3,528,400,0,1,8,512,0.27,2021.82,233050
5,3,1985,0,2061,1985,2,3,786,0,650,2,11,512,0.23,2020.00,333500
4,3,1987,0,2320,1987,2,3,1208,400,0,1,11,512,0.25,2020.15,312000
5,3,1998,0,2070,1998,2,4,1004,0,500,1,15,512,0.17,2022.50,421005
4,4,2001,2,3041,1965,4,4,1620,0,1100,2,13,510,1.01,2019.14,555555.5556
5,4,1998,0,2302,1998,3,4,1087,0,950,1,17,510,0.25,2019.55,395454.5455
4,4,2017,0,1939,2017,3,3,1827,0,1700,1,14,496,0.2,2022.46,717900
6,6,2002,6,6068,1934,2,5,1362,600,0,2,23,480,0.68,2017.67,1150000
4,4,2003,0,2083,2003,3,1,2055,0,1750,2,18,480,0.31,2019.03,376000
5,4,2006,0,2682,2006,3,1,2682,0,2050,2,16,480,0.31,2019.43,612000
5,4,2006,0,2682,2006,3,1,2682,0,2050,2,16,480,0.31,2019.43,612000
3,3,1960,0,1993,1960,1,3,1694,900,0,2,11,480,0.31,2018.32,180000
4,3,1966,0,1080,1966,1,3,1080,0,950,1,9,480,0.21,2021.19,218000
4,4,2003,0,2202,2003,3,3,2169,0,1400,1,15,476,0.28,2016.09,344000
3,3,1977,0,2211,1977,2,5,1051,500,0,0,10,476,0.21,2021.48,264916.6667
4,3,2000,0,1723,2000,2,2,1699,0,1200,3,14,476,0.27,2017.53,320999
4,4,1985,0,2797,1985,2,2,2775,0,300,1,15,464,0.27,2022.01,712500
4,5,1986,0,4811,1986,3,4,3445,0,2650,3,21,450,0.81,2020.21,737500
4,5,1986,0,4811,1986,3,4,3445,0,2650,3,21,450,0.81,2020.21,737500
4,4,2003,0,2687,2003,3,3,2677,0,2200,3,16,450,0.55,2019.45,415384.6154
4,4,2016,0,2619,2016,3,3,2571,0,2200,3,17,450,0.31,2017.92,675000
4,3,1973,0,960,1973,1,2,960,0,850,1,8,450,0.14,2017.90,146000
4,3,1952,0,1688,1952,3,2,656,0,350,0,6,450,0.19,2018.55,175000
4,3,1961,0,950,1961,2,2,950,400,450,1,8,450,0.32,2016.56,154000
4,3,1961,0,950,1961,2,2,950,400,450,1,8,450,0.32,2019.76,164000
5,3,1976,0,1484,1976,2,3,700,0,550,1,11,450,0.18,2017.37,193500
4,3,1998,0,1372,1998,3,3,921,0,850,1,10,450,0.25,2017.62,252000
6,3,2021,0,2595,2021,3,4,1197,0,900,1,16,448,0.18,2021.65,393270.8333
5,4,2017,2,2889,1960,2,3,1857,200,1550,2,19,448,0.26,2019.61,328000
5,3,1958,0,1171,1958,1,3,1171,600,0,0,7,448,0.22,2020.33,207000
4,3,1978,0,1194,1978,2,3,504,0,400,1,11,448,0.16,2016.63,171500
4,3,1978,0,1194,1978,2,3,504,0,400,1,11,448,0.16,2021.86,225000
5,3,1986,0,1295,1986,2,2,1239,0,850,0,11,440,0.21,2021.24,270000
5,3,1986,0,1295,1986,2,2,1239,0,850,0,11,440,0.21,2018.55,230000
4,3,1980,0,2608,1980,2,4,1404,0,1200,3,15,435,0.31,2022.07,400000
5,4,2009,4,1935,1932,2,2,918,0,700,2,14,420,0.23,2021.69,662500
4,3,1999,5,1622,1977,2,3,528,0,300,1,12,416,0.24,2016.91,169500
3,4,1964,0,2450,1964,2,3,1837,0,1800,3,14,408,0.35,2019.88,347000
4,4,1990,0,2336,1990,2,4,1640,0,1200,1,16,392,0.22,2018.67,385000
